"","humidity","mean_value","UP_value","Low_value"
"1",11.5731,-6.72348841298847,-5.34324218896324,-8.1037346370137
"2",12.466301010101,-6.70831309499655,-5.33989818857946,-8.07672800141364
"3",13.359502020202,-6.69313777700463,-5.33648809260698,-8.04978746140228
"4",14.252703030303,-6.67796245901271,-5.33301016649406,-8.02291475153136
"5",15.145904040404,-6.66278714102079,-5.32946262499731,-7.99611165704427
"6",16.0391050505051,-6.64761182302888,-5.32584363086715,-7.96938001519061
"7",16.9323060606061,-6.63243650503696,-5.3221512935296,-7.94272171654432
"8",17.8255070707071,-6.61726118704504,-5.31838366776832,-7.91613870632176
"9",18.7187080808081,-6.60208586905312,-5.3145387524111,-7.88963298569514
"10",19.6119090909091,-6.58691055106121,-5.31061448902581,-7.8632066130966
"11",20.5051101010101,-6.57173523306929,-5.30660876063101,-7.83686170550756
"12",21.3983111111111,-6.55655991507737,-5.30251939042742,-7.81060043972732
"13",22.2915121212121,-6.54138459708545,-5.2983441405565,-7.7844250536144
"14",23.1847131313131,-6.52620927909353,-5.29408071089368,-7.75833784729339
"15",24.0779141414141,-6.51103396110162,-5.28972673788383,-7.7323411843194
"16",24.9711151515152,-6.4958586431097,-5.28527979342795,-7.70643749279145
"17",25.8643161616162,-6.48068332511778,-5.28073738383009,-7.68062926640547
"18",26.7575171717172,-6.46550800712586,-5.27609694881507,-7.65491906543665
"19",27.6507181818182,-6.45033268913394,-5.27135586062783,-7.62930951764006
"20",28.5439191919192,-6.43515737114203,-5.2665114232263,-7.60380331905775
"21",29.4371202020202,-6.41998205315011,-5.26156087158077,-7.57840323471945
"22",30.3303212121212,-6.40480673515819,-5.25650137109324,-7.55311209922314
"23",31.2235222222222,-6.38963141716627,-5.25133001715162,-7.52793281718093
"24",32.1167232323232,-6.37445609917435,-5.24604383483411,-7.5028683635146
"25",33.0099242424242,-6.35928078118244,-5.24063977878051,-7.47792178358437
"26",33.9031252525253,-6.34410546319052,-5.23511473324763,-7.45309619313341
"27",34.7963262626263,-6.3289301451986,-5.22946551236728,-7.42839477802992
"28",35.6895272727273,-6.31375482720668,-5.22368886062589,-7.40382079378747
"29",36.5827282828283,-6.29857950921477,-5.21778145358565,-7.37937756484388
"30",37.4759292929293,-6.28340419122285,-5.21173989886782,-7.35506848357787
"31",38.3691303030303,-6.26822887323093,-5.20556073741943,-7.33089700904243
"32",39.2623313131313,-6.25305355523901,-5.19924044508497,-7.30686666539305
"33",40.1555323232323,-6.23787823724709,-5.19277543450512,-7.28298103998907
"34",41.0487333333333,-6.22270291925518,-5.18616205736457,-7.25924378114578
"35",41.9419343434343,-6.20752760126326,-5.17939660701114,-7.23565859551537
"36",42.8351353535354,-6.19235228327134,-5.17247532146764,-7.21222924507504
"37",43.7283363636364,-6.17717696527942,-5.16539438685795,-7.18895954370089
"38",44.6215373737374,-6.1620016472875,-5.15814994126733,-7.16585335330768
"39",45.5147383838384,-6.14682632929559,-5.15073807905608,-7.14291457953509
"40",46.4079393939394,-6.13165101130367,-5.143154855644,-7.12014716696333
"41",47.3011404040404,-6.11647569331175,-5.13539629278097,-7.09755509384253
"42",48.1943414141414,-6.10130037531983,-5.12745838431672,-7.07514236632295
"43",49.0875424242424,-6.08612505732791,-5.11933710247994,-7.05291301217589
"44",49.9807434343434,-6.070949739336,-5.11102840467335,-7.03087107399865
"45",50.8739444444444,-6.05577442134408,-5.10252824078783,-7.00902060190033
"46",51.7671454545455,-6.04059910335216,-5.09383256103416,-6.98736564567017
"47",52.6603464646465,-6.02542378536024,-5.08493732428615,-6.96591024643433
"48",53.5535474747475,-6.01024846736833,-5.07583850692393,-6.94465842781273
"49",54.4467484848485,-5.99507314937641,-5.06653211216001,-6.9236141865928
"50",55.3399494949495,-5.97989783138449,-5.05701417982528,-6.9027814829437
"51",56.2331505050505,-5.96472251339257,-5.04728079658502,-6.88216423020012
"52",57.1263515151515,-5.94954719540065,-5.03732810654893,-6.86176628425238
"53",58.0195525252525,-5.93437187740874,-5.02715232223187,-6.84159143258561
"54",58.9127535353535,-5.91919655941682,-5.01674973581538,-6.82164338301826
"55",59.8059545454546,-5.9040212414249,-5.00611673065302,-6.80192575219678
